objt_id,occu_year,occu_mt,occu_de,occu_tm,occu_day,occu_date,end_year,end_mt,end_de,end_tm,adres,rn_adres,resn,ar,amount,ctprvn_cd,sgg_cd,emd_cd,x,y
752,2014,1,25,350,토요일,20140125,2014,1,25,515,경상북도 안동시 서후면 자품리 산76-2,null,쓰레기소각,0.02,347,47,47170,47170330,14317429.29,4389648.604
81,2011,3,11,1345,금요일,20110311,2011,3,11,1420,경상북도 안동시 서후면 태장리 산76,null,쓰레기소각,0.3,4430,47,47170,47170330,14322268.25,4390709.679
2984,2017,12,21,1652,목요일,20171221,2017,12,21,1850,경상북도 안동시 송천동 산39-1,null,입산자 실화추정,0.02,1460,47,47170,47170137,14335885.15,4377072.378
1953,2016,3,3,1355,목요일,20160303,2016,3,3,1510,경상북도 안동시 신세동   산8-1,null,원인미상,0.1,0,47,47170,47170108,14330836.03,4379595.272
4702,2020,11,10,1323,화요일,20201110,2020,11,10,1521,경상북도 안동시 예안면 귀단리 산50-1,null,농산폐기물소각,0.1,8744,47,47170,47170410,14346646.01,4395096.377
5019,2021,11,17,1555,수요일,20211117,2021,11,17,1715,경상북도 안동시 예안면 도목리 산64-1,경상북도 안동시 예안면 오무골길 35,쓰레기소각,0.04,7103000,47,47170,47170410,14344747.45,4387678.492
2509,2017,3,19,1048,일요일,20170319,2017,3,19,1407,경상북도 안동시 예안면 인계리 산129,null,주택화재,0.1,3220,47,47170,47170410,14353817.89,4396091.915
1002,2014,4,14,1725,월요일,20140414,2014,4,14,1840,경상북도 안동시 와룡면 가류리 산144,null,입산자실화 추정,0.2,0,47,47170,47170310,14341291.05,4386203.562
774,2014,2,5,1500,수요일,20140205,2014,2,5,1550,경상북도 안동시 와룡면 라소리 산168,null,주택화재비화,0.01,1190,47,47170,47170310,14339353.3,4391854.6
898,2014,3,23,1700,일요일,20140323,2014,3,23,1750,경상북도 안동시 와룡면 이상리 산130-1,null,비닐하우스 가스폭발,0.2,0,47,47170,47170310,14331052.94,4386162.388
169,2011,4,4,1325,월요일,20110404,2011,4,4,1420,경상북도 안동시 와룡면 주계리 산105,null,성묘객실화추정,0.1,778,47,47170,47170310,14338155.23,4388221.225
2813,2017,6,3,1144,토요일,20170603,2017,6,3,1250,경상북도 안동시 와룡면 주하리 산65,null,농산폐기물 소각추정,0.03,980,47,47170,47170310,14332274.25,4392573.533
902,2014,3,24,1240,월요일,20140324,2014,3,24,1340,경상북도 안동시 운안동 산124,null,농산폐기물소각,0.02,0,47,47170,47170129,14327819.54,4379963.688
3323,2018,4,28,1352,토요일,20180428,2018,4,28,1550,경상북도 안동시 일직동 용각리 산6-16-2,null,폐가 전기누전 추정,0.1,8409,47,47170,47170350,14319156.12,4363876.234
2850,2017,6,17,1915,토요일,20170617,2017,6,17,2140,경상북도 안동시 일직면 용각리 산103,null,산림사업장 실화,0.2,759,47,47170,47170350,14314817.29,4362726.882
2384,2017,2,28,1310,화요일,20170228,2017,2,28,1520,경상북도 안동시 일직면 용각리 산28-1,null,축산폐기물 소각,0.8,17240,47,47170,47170350,14316515.41,4364619.127
4204,2020,2,11,1134,월요일,20200211,2020,2,11,1430,경상북도 안동시 일직면 운산리 산22-1,null,담뱃불실화,0.08,8710,47,47170,47170350,14320579.63,4365780.258
1596,2015,5,23,1624,토요일,20150523,2015,5,23,1730,경상북도 안동시 일직면 평팔리 542-2,null,농산폐기물소각,0.1,0,47,47170,47170350,14318255.97,4361890.06
657,2013,5,9,1510,목요일,20130509,2013,5,9,1612,경상북도 안동시 임동면 고천리 산29,null,농산폐기물소각,0.1,10060,47,47170,47170400,14357275.62,4377917.037
1125,2014,5,27,1235,화요일,20140527,2014,5,27,1420,경상북도 안동시 임동면 마령리 산158-8,null,쓰레기소각,0.2,0,47,47170,47170400,14356907.06,4382468.47
3320,2018,4,22,1103,일요일,20180422,2018,4,22,1240,경상북도 안동시 임동면 마리 산57,null,밭소각,0.02,3335,47,47170,47170400,14348876.31,4380126.629
5018,2021,2,21,1520,일요일,20210221,2021,2,23,720,경상북도 안동시 임동면 망천리 산329,null,조사중,307,8119789000,47,47170,47170400,14349078.44,4377751.269
1693,2015,6,10,1140,수요일,20150610,2015,6,10,1330,경상북도 안동시 임동면 박곡리 산78,null,논밭두렁소각,0.1,0,47,47170,47170400,14351133.87,4374380.256
2040,2016,3,27,1217,일요일,20160327,2016,3,27,1355,경상북도 안동시 임동면 사월리 산163,null,낚시객 실화추정,0.2,0,47,47170,47170400,14349106.82,4384035.353
354,2012,5,28,1505,월요일,20120528,2012,5,28,1700,경상북도 안동시 임동면 사월리 산204,null,낙뢰,0.01,0,47,47170,47170400,14355470.27,4378557.59
1373,2015,3,16,1812,월요일,20150316,2015,3,16,1955,경상북도 안동시 임동면 사월리 산58,null,농산폐기물소각,0.1,0,47,47170,47170400,14349369.35,4384569.617
3909,2019,4,15,1710,월요일,20190415,2019,4,15,1828,경상북도 안동시 임동면 위리 산23-9,null,원인미상,0.15,20821,47,47170,47170400,14354726.15,4387558.268
2667,2017,4,27,1425,목요일,20170427,2017,4,27,1535,경상북도 안동시 임하면 금소리 산67-1,null,입산자 실화,0.01,490,47,47170,47170380,14344978.02,4370295.355
3784,2019,3,27,1303,수요일,20190327,2019,3,27,1655,경상북도 안동시 임하면 천전리 산59,null,쓰레기 소각,0.3,28340,47,47170,47170380,14344573.37,4374536.819
4716,2020,11,15,1919,일요일,20201115,2020,11,15,2343,경상북도 안동시 임하면 천전리 산9,null,입산자실화추정,0.75,67494,47,47170,47170380,14344565.88,4377659.679
5013,2021,2,8,1300,월요일,20210208,2021,2,8,1440,경상북도 안동시 정상동 산125-21,null,비닐하우스화재,0.1,13312000,47,47170,47170139,14333807.06,4374818.07
1952,2016,3,3,1355,목요일,20160303,2016,3,3,1510,경상북도 안동시 중구동 산8-1,null,쓰레기소각,0.1,0,47,47170,47170106,14331088.83,4379195.882
1903,2016,2,9,1737,화요일,20160209,2016,2,9,1840,경상북도 안동시 풍산읍 노리 산35,null,쓰레기 소각,0.03,0,47,47170,47170250,14317978.85,4383656.136
2269,2016,8,14,859,일요일,20160814,2016,8,14,1030,경상북도 안동시 풍산읍 노리 산56,null,쓰레기소각,0.02,0,47,47170,47170250,14318072.72,4383618.679
5014,2021,2,24,1413,수요일,20210224,2021,2,24,1456,경상북도 안동시 풍산읍 마애리 산18,null,절단기불씨,0.02,1978000,47,47170,47170250,14313730.32,4377681.366
1842,2016,1,17,1118,일요일,20160117,2016,1,17,1225,경상북도 안동시 풍산읍 마애리 산35-3,null,농산폐기물 소각,0.01,0,47,47170,47170250,14313381.94,4379456.987
864,2014,3,10,1520,월요일,20140310,2014,3,10,1635,경상북도 안동시 풍산읍 만운리 산176,null,논밭두렁소각 추정,0.1,1290,47,47170,47170250,14313853.26,4385931.777
4569,2020,4,30,1547,공휴일,20200430,2020,4,30,1748,경상북도 안동시 풍산읍 매곡리 산91,null,입산자실화추정,0.1,13742,47,47170,47170250,14311148.57,4382380.106
125,2011,3,23,1515,수요일,20110323,2011,3,23,1613,경상북도 안동시 풍산읍 서미리 산30-2,null,논밭두렁소각,0.4,9646,47,47170,47170250,14312588.29,4387921.985
4495,2020,4,14,1112,화요일,20200414,2020,4,14,1325,경상북도 안동시 풍산읍 수리 산23-1,null,원인미상,0.5,38107,47,47170,47170250,14317774.5,4380813.805
5015,2021,4,24,939,토요일,20210424,2021,4,24,1130,경상북도 안동시 풍산읍 오미리 산147-2,null,입산자실화,0.1,11178000,47,47170,47170250,14304299.99,4381929.375
4673,2020,10,31,1157,토요일,20201031,2020,10,31,1430,경상북도 안동시 풍산읍 현애리 산14-1,null,입산자실화추정,0.03,6191,47,47170,47170250,14308775.43,4387796.226
812,2014,2,26,1055,수요일,20140226,2014,2,26,1255,경상북도 안동시 풍천면 금계리 산63,null,입산자실화 추정,0.1,6550,47,47170,47170340,14305768.37,4371217.805
279,2012,4,7,1418,토요일,20120407,2012,4,7,1600,경상북도 안동시 풍천면 신성리 산124,null,담뱃불실화,0.2,4000,47,47170,47170340,14300767.72,4371173.116
347,2012,5,27,1753,일요일,20120527,2012,5,27,1942,경상북도 안동시 풍천면 어담리 산14,null,양봉작업,0.1,3193,47,47170,47170340,14307866.3,4380214.003
4331,2020,3,22,1314,일요일,20200322,2020,3,22,1950,경상북도 안동시 풍천면 어담리 산46-1,null,농산폐기물소각,18.3,836600,47,47170,47170340,14313285.89,4365720.328
4538,2020,4,24,1539,금요일,20200424,2020,4,27,1800,경상북도 안동시 풍천면 인금리 산114,null,입산자실화추정,1944,106258939,47,47170,47170340,14309298.12,4373882.505
97,2011,3,12,1525,토요일,20110312,2011,3,12,1710,경상북도 안동시 풍천면 인금리 산169,null,농산폐기물소각추정,5,132924,47,47170,47170340,14308766.53,4372267.71
482,2013,3,8,1225,금요일,20130308,2013,3,8,1350,경상북도 영덕군 강구면 강구리 산53-14,null,입산자실화,0.1,6120,47,47770,47770310,14403533.23,4350505.936
4092,2019,10,11,1155,금요일,20191011,2019,10,11,1330,경상북도 영덕군 강구면 상직리 산42,null,쓰레기 소각,0.05,10620,47,47770,47770310,14398341.13,4355017.805
9,2011,1,15,1520,토요일,20110115,2011,1,15,1710,경상북도 영덕군 강구면 하저리 산117-1,null,폐차장화재,1,2000,47,47770,47770310,14403648.58,4356793.112
3595,2019,1,29,1937,화요일,20190129,2019,1,30,707,경상북도 영덕군 남정면 봉전리 산1,null,입산자 실화추정,1.5,128914,47,47770,47770320,14400978.06,4342273.061
655,2013,5,8,1823,수요일,20130508,2013,5,8,2130,경상북도 영덕군 남정면 사암리 산62-3,null,입산자실화,0.01,8741,47,47770,47770320,14396047.72,4346658.196
656,2013,5,8,2300,수요일,20130508,2013,5,9,855,경상북도 영덕군 남정면 사암리 산62-4,null,입산자실화,1,293433,47,47770,47770320,14396047.72,4346658.196
1980,2016,3,16,1655,수요일,20160316,2016,3,16,1730,경상북도 영덕군 남정면 중화리 160,null,담뱃불실화,0.22,0,47,47770,47770320,14398152.57,4349745.81
1981,2016,3,16,1655,수요일,20160316,2016,3,16,1730,경상북도 영덕군 남정면 중화리 산60,null,담뱃불 실화,0.01,0,47,47770,47770320,14397754.51,4350153.555
165,2011,4,1,2110,금요일,20110401,2011,4,2,925,경상북도 영덕군 남정면 회리 산169,null,쓰레기소각추정,60.5,1400000,47,47770,47770320,14397009.95,4337596.85
4601,2020,6,1,1246,월요일,20200601,2020,6,1,1548,경상북도 영덕군 달산면 옥산리 산145,null,쓰레기소각,0.21,16781,47,47770,47770330,14390181.61,4347354.983
595,2013,4,10,1500,수요일,20130410,2013,4,10,1550,경상북도 영덕군 병곡면 거무역리 산19,null,입산자실화,0.01,1140,47,47770,47770370,14403908.83,4381425.453
3510,2019,1,7,620,월요일,20190107,2019,1,7,730,경상북도 영덕군 병곡면 영리 산70-1,null,건축물화재(집불)비화,0.1,6143,47,47770,47770370,14404684.78,4384782.828
5046,2021,1,11,1935,월요일,20210111,2021,1,11,2140,경상북도 영덕군 영덕읍 노물리 산65,null,건축물실화,0.05,5277000,47,47770,47770250,14407879.43,4362923.259
4232,2020,3,6,1434,금요일,20200306,2020,3,6,1535,경상북도 영덕군 영덕읍 매정리 산113,null,쓰레기소각,0.01,2899,47,47770,47770250,14405394.26,4363616.709
5047,2021,4,2,1919,금요일,20210402,2021,4,2,2100,경상북도 영덕군 영덕읍 우곡리 산9-7,null,입산자실화,0.15,12535000,47,47770,47770250,14402918.14,4359324.843
5045,2021,2,9,1610,화요일,20210209,2021,2,9,1722,경상북도 영덕군 영덕읍 화개리 산2-1,null,입산자실화추정,0.05,4986000,47,47770,47770250,14401386.69,4359263.251
2306,2016,12,17,1255,토요일,20161217,2016,12,17,1700,경상북도 영덕군 영덕읍 화수리 산6,null,기타(직접입력),1.6,0,47,47770,47770250,14402730.37,4359311.451
699,2013,11,20,553,수요일,20131120,2013,11,20,740,경상북도 영덕군 영덕읍 화천리 산102,null,입산자실화 추정,0.01,810,47,47770,47770250,14398852.63,4364011.238
3629,2019,2,16,134,토요일,20190216,2019,2,16,835,경상북도 영덕군 영해면 괴시리 산40-1,null,입산자 방화(등상중 부상 구조요청 목적),0.5,54330,47,47770,47770360,14406951.13,4375518.594
