damagearea,endday,endmonth,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0.2,06,11,2022,입산자실화,산80-94,가베,군위,간성,경남,06,일요일,11,12:50:00,2022
0.3,05,11,2022,입산자실화,산42-1,불광,유성,소초,서울,05,토요일,11,14:32:00,2022
0.8,06,11,2022,입산자실화,산51,당,기장,북내,경북,05,토요일,11,13:59:00,2022
0.02,04,11,2022,입산자실화,산217,오천,산청,방산,경북,04,금요일,11,15:21:00,2022
0.5,04,11,2022,기타,산25-1,봉산,함양,영덕,경북,04,금요일,11,07:20:00,2022
0.01,03,11,2022,기타,산53-4,성북,신안,남정,대전,03,목요일,11,13:00:00,2022
0.03,03,11,2022,농산부산물소각,595.0,청강,광산,생비량,부산,03,목요일,11,11:37:00,2022
0.01,03,11,2022,농산부산물소각,산18,양전,안동,두동,경남,03,목요일,11,09:40:00,2022
0.01,02,11,2022,기타,산72,손곡,남양주,남성,경남,02,수요일,11,18:38:00,2022
0.02,02,11,2022,쓰레기소각,89-1,가릉,포천,진상,전남,02,수요일,11,15:48:00,2022
0.02,02,11,2022,기타,산37,삼거,나주,도산,광주,02,수요일,11,15:11:00,2022
0.05,02,11,2022,입산자실화,산38-1,천지,광산,염산,경북,02,수요일,11,14:11:00,2022
1.48,02,11,2022,입산자실화,산39,용암,담양,탄현,경기,02,수요일,11,06:20:00,2022
0.03,01,11,2022,입산자실화,산190,화현,양평,광적,경기,01,화요일,11,22:00:00,2022
0.05,01,11,2022,담뱃불실화,산316-1,신광,김천,장관,전남,01,화요일,11,15:23:00,2022
0.04,30,10,2022,기타,산37,삼거,신안,사곡,광주,30,일요일,10,15:02:00,2022
0.04,30,10,2022,쓰레기소각,산45,운산,진주,진량,전남,30,일요일,10,12:47:00,2022
0.01,30,10,2022,입산자실화,119.0,반곡,합천,남,세종,30,일요일,10,07:05:00,2022
0.3,29,10,2022,입산자실화,산6,향소,거제,명석,경기,29,토요일,10,11:07:00,2022
0.01,28,10,2022,기타,산116,무안,진주,외남,경북,28,금요일,10,18:21:00,2022
